"人気度","カテゴリー","商品名","付加情報1","付加情報2","JAN","価格","URL","iscd(商品cd)"
"13","Ｘｂｏｘ３６０","バレットソウル　－弾魂－　インフィニットバースト　＜限定版＞","","","=""4988648964648""","3980","https://www.bookoffonline.co.jp/old/0017126768","=""0017126768"""
"12","Ｘｂｏｘ３６０","天外魔境　ＺＩＲＡＩＡ　遥かなるジパング","","","=""4988648391390""","9980","https://www.bookoffonline.co.jp/old/0001063985","=""0001063985"""
"10","Ｘｂｏｘ３６０","ギンガフォース","","","=""4988648855991""","3480","https://www.bookoffonline.co.jp/old/0016867173","=""0016867173"""
"10","Ｘｂｏｘ３６０","ギンガフォース＆エスカトス　ＷＯＮＤＥＲ　ＰＡＣＫ","","","=""4988648923072""","5980","https://www.bookoffonline.co.jp/old/0017009169","=""0017009169"""
"9","Ｘｂｏｘ３６０","バレットソウル　－弾魂－　インフィニットバースト","","","=""4988648964631""","3480","https://www.bookoffonline.co.jp/old/0017126766","=""0017126766"""
"9","Ｘｂｏｘ３６０","サクラフラミンゴアーカイヴス","","","=""4988648960299""","15000","https://www.bookoffonline.co.jp/old/0017245226","=""0017245226"""
"7","Ｘｂｏｘ３６０","ギンガフォース　Ｗｏｎｄｅｒ　Ｐｒｉｃｅ","","","=""4988648973282""","2480","https://www.bookoffonline.co.jp/old/0017142150","=""0017142150"""
"7","Ｘｂｏｘ３６０","バレットソウル　－弾魂－","","","=""4560248017537""","4480","https://www.bookoffonline.co.jp/old/0016519174","=""0016519174"""
"6","Ｘｂｏｘ３６０","まもるクンは呪われてしまった！（限定版）","","","=""4582118810109""","2981","https://www.bookoffonline.co.jp/old/0016165362","=""0016165362"""
"8","Ｘｂｏｘ","アウトラン２","","","=""4974365880187""","1580","https://www.bookoffonline.co.jp/old/0010035440","=""0010035440"""
"7","Ｘｂｏｘ","アウトラン２　Ｆｉｒｓｔ　Ｌｉｍｉｔｅｄ　Ｅｄｉｔｉｏｎ","","","=""4974365880163""","1980","https://www.bookoffonline.co.jp/old/0010035441","=""0010035441"""
"5","Ｘｂｏｘ","ザ・キング・オブ・ファイターズ２００３","","","=""4964808800094""","781","https://www.bookoffonline.co.jp/old/0010189123","=""0010189123"""
"8","ＰＳＰ","るぷぷキューブ　ルプ★さらだ　ぽ～たぶる　・・・またたび","","","=""4582246790366""","5980","https://www.bookoffonline.co.jp/old/0016256579","=""0016256579"""
"5","ＰＳＰ","ＮＥＷレインボーアイランド　ハーディガーディ大冒険！！","","","=""4988110022463""","980","https://www.bookoffonline.co.jp/old/0015135580","=""0015135580"""
"5","ＮＩＮＴＥＮＤＯ６４","スターソルジャー　バニシング・アース","","","=""4988607001148""","1780","https://www.bookoffonline.co.jp/old/0000992661","=""0000992661"""
"18","ＮＥＯ・ＧＥＯ","ＮＧ　メタルスラッグ","","","=""4964808100880""","118000","https://www.bookoffonline.co.jp/old/0000986682","=""0000986682"""
"16","ＮＥＯ・ＧＥＯ","ＮＧ　メタルスラッグ２","","","=""4964808101221""","118000","https://www.bookoffonline.co.jp/old/0000992400","=""0000992400"""
"16","ＮＥＯ・ＧＥＯ","ＮＧ　ティンクルスタースプライツ","","","=""4964808101153""","118000","https://www.bookoffonline.co.jp/old/0000990883","=""0000990883"""
"15","ＮＥＯ・ＧＥＯ","ＮＧ　メタルスラッグ３","","","=""4964808101351""","100001","https://www.bookoffonline.co.jp/old/0000995391","=""0000995391"""
"15","ＮＥＯ・ＧＥＯ","ＮＧ　レイジ　オブ　ザ　ドラゴンズ","","","=""4964808101399""","118000","https://www.bookoffonline.co.jp/old/0001283931","=""0001283931"""
"14","ＮＥＯ・ＧＥＯ","ＮＧ　オーバートップ","","","=""4964808101092""","118000","https://www.bookoffonline.co.jp/old/0000986815","=""0000986815"""
"13","ＮＥＯ・ＧＥＯ","ＮＧ　まる子デラックスクイズ","","","=""4964808100972""","118000","https://www.bookoffonline.co.jp/old/0000986811","=""0000986811"""
"13","ＮＥＯ・ＧＥＯ","ＮＧ　メタルスラッグＸ","","","=""4964808101283""","118000","https://www.bookoffonline.co.jp/old/0000994044","=""0000994044"""
"13","ＮＥＯ・ＧＥＯ","ＮＧ　ショックトルーパーズ　セカンドスカッド","","","=""4964808101290""","118000","https://www.bookoffonline.co.jp/old/0000994252","=""0000994252"""
"12","ＮＥＯ・ＧＥＯ","ＮＣＤ　メタルスラッグ","","","=""4964808500949""","9980","https://www.bookoffonline.co.jp/old/0000986840","=""0000986840"""
"12","ＮＥＯ・ＧＥＯ","ＮＧ　マジカルドロップ３","","","=""4964808101184""","118000","https://www.bookoffonline.co.jp/old/0000991451","=""0000991451"""
"12","ＮＥＯ・ＧＥＯ","ＮＧ　ビックトーナメントゴルフ","","","=""4964808100996""","118000","https://www.bookoffonline.co.jp/old/0000986812","=""0000986812"""
"11","ＮＥＯ・ＧＥＯ","ＮＧ　パルスター","","","=""4964808100866""","118000","https://www.bookoffonline.co.jp/old/0000986680","=""0000986680"""
"11","ＮＥＯ・ＧＥＯ","ＮＧ　将棋の達人","","","=""4964808100941""","118000","https://www.bookoffonline.co.jp/old/0000986808","=""0000986808"""
"11","ＮＥＯ・ＧＥＯ","ＮＧ　ブレイジングスター","","","=""4964808101214""","118000","https://www.bookoffonline.co.jp/old/0000992399","=""0000992399"""
"10","ＮＥＯ・ＧＥＯ","ＮＧ　マジカルドロップ２","","","=""4964808101047""","118000","https://www.bookoffonline.co.jp/old/0000986814","=""0000986814"""
"10","ＮＥＯ・ＧＥＯ","ＮＧ　ブレイカーズ","","","=""4964808101177""","118000","https://www.bookoffonline.co.jp/old/0000991223","=""0000991223"""
"9","ＮＥＯ・ＧＥＯ","ＮＧ　新豪血寺一族　闘婚","","","=""4964808101412""","118000","https://www.bookoffonline.co.jp/old/0001341342","=""0001341342"""
"8","ＮＥＯ・ＧＥＯ","ＮＧ　風雲スーパータッグバトル","","","=""4964808101061""","118000","https://www.bookoffonline.co.jp/old/0000990604","=""0000990604"""
"7","ＮＥＯ・ＧＥＯ","ＮＧ　ステークスウィナー２","","","=""4964808101122""","50000","https://www.bookoffonline.co.jp/old/0000990821","=""0000990821"""
"7","ＮＥＯ・ＧＥＯ","ＮＧ　ニンジャコマンドー","","","=""4964808100439""","118000","https://www.bookoffonline.co.jp/old/0000986665","=""0000986665"""
"6","ＮＥＯ・ＧＥＯ","ＮＧ　ライディングヒーロー","","","=""4964808002153""","4980","https://www.bookoffonline.co.jp/old/0000986636","=""0000986636"""
"6","ＮＥＯ・ＧＥＯ","ＮＧ　フットボールレンジー","","","=""4964808100378""","8980","https://www.bookoffonline.co.jp/old/0000986659","=""0000986659"""
"6","ＮＥＯ・ＧＥＯ","ＮＧ　アンドロデュノス","","","=""4964808100446""","118000","https://www.bookoffonline.co.jp/old/0000986666","=""0000986666"""
"6","ＮＥＯ・ＧＥＯ","ＮＧ　ステークスウィナー","","","=""4964808100903""","40000","https://www.bookoffonline.co.jp/old/0000986684","=""0000986684"""
"6","ＮＥＯ・ＧＥＯ","ＮＧ　得点王　炎のリベロ","","","=""4964808101146""","80000","https://www.bookoffonline.co.jp/old/0000990822","=""0000990822"""
"6","ＮＥＯ・ＧＥＯ","ＮＣＤ　オーバートップ","","","=""4949830011052""","13000","https://www.bookoffonline.co.jp/old/0000984432","=""0000984432"""
"6","ＮＥＯ・ＧＥＯ","ＮＧ　ＳＮＫｖｓＣＡＰＣＯＭ　ＳＶＣＣＨＡＯＳ","","","=""4964808101429""","36000","https://www.bookoffonline.co.jp/old/0001405083","=""0001405083"""
"6","ＮＥＯ・ＧＥＯ","ＮＧ　わくわく７","","","=""4964808101054""","60000","https://www.bookoffonline.co.jp/old/0000990823","=""0000990823"""
"5","ＮＥＯ・ＧＥＯ","ＮＣＤ　餓狼伝説２","","","=""4964808500314""","1980","https://www.bookoffonline.co.jp/old/0000986823","=""0000986823"""
"5","ＮＥＯ・ＧＥＯ","ＮＧ　ネオジオカップ’９８　ザ・ロード・トゥ・ザ・ヴィクトリー","","","=""4964808101245""","118000","https://www.bookoffonline.co.jp/old/0000992852","=""0000992852"""
"5","ＮＥＯ・ＧＥＯ","ＮＣＤ　龍虎の拳","","","=""4964808500437""","1580","https://www.bookoffonline.co.jp/old/0000986834","=""0000986834"""
"5","ＮＥＯ・ＧＥＯ","ＮＣＤ　ミューティションネイション","","","=""4964808500345""","2480","https://www.bookoffonline.co.jp/old/0000986826","=""0000986826"""
"5","ＮＥＯ・ＧＥＯ","ＮＣＤ　ＦＵＴＳＡＬ","","","=""4946318096044""","9980","https://www.bookoffonline.co.jp/old/0000986086","=""0000986086"""
"5","ＮＥＯ・ＧＥＯ","ＮＣＤ　ビッグトーナメントゴルフ","","","=""4964808500925""","20000","https://www.bookoffonline.co.jp/old/0000986717","=""0000986717"""
"5","ＮＥＯ・ＧＥＯ","ＮＣＤ　クロスウォード","","","=""4949830010024""","1980","https://www.bookoffonline.co.jp/old/0000985978","=""0000985978"""
"15","Ｋ‐ポップ","【輸入盤】Ｎｉｇｈｔｍａｒｅ","","","=""8809447087504""","1380","https://www.bookoffonline.co.jp/old/0018830723","=""0018830723"""
"10","Ｋ‐ポップ","【輸入盤】Ｈｉｐｐｉｔｙ　Ｈｏｐ","","","=""8804775045530""","1180","https://www.bookoffonline.co.jp/old/0018906587","=""0018906587"""
"7","Ｋ‐ポップ","Ｒｏｍａｎ（初回限定盤Ａ）（ＤＶＤ付）","","","=""4943674148080""","1380","https://www.bookoffonline.co.jp/old/0017014154","=""0017014154"""
"7","Ｋ‐ポップ","【輸入盤】悪夢　－Ｆａｌｌ　Ａｓｌｅｅｐ　ｉｎ　ｔｈｅ　Ｍｉｒｒｏｒ","","","=""8809280162833""","500","https://www.bookoffonline.co.jp/old/0018880608","=""0018880608"""
"7","Ｋ‐ポップ","日本デビュー１０周年記念アルバム～Ｓｏｎｇ　Ｆｏｒ　Ｙｏｕ","","","=""4988013698468""","2380","https://www.bookoffonline.co.jp/old/0017142054","=""0017142054"""
"7","Ｋ‐ポップ","ウィ・ヘイト・オール・カインド・オブ・ヴァイオレンス","","","=""4988064180196""","980","https://www.bookoffonline.co.jp/old/0001011096","=""0001011096"""
"7","Ｋ‐ポップ","Ｕ＆Ｉ（初回限定盤）（ＤＶＤ付）","","","=""4943674169054""","2580","https://www.bookoffonline.co.jp/old/0017115693","=""0017115693"""
"6","Ｋ‐ポップ","Ｍｙ　Ｅｖｅｒｙｔｈｉｎｇ","","","=""4988005771261""","1380","https://www.bookoffonline.co.jp/old/0016995669","=""0016995669"""
"6","Ｋ‐ポップ","Ｏｕｔｓｉｄｅ　Ｃａｓｔｌｅ","","","=""4988064180066""","500","https://www.bookoffonline.co.jp/old/0000970687","=""0000970687"""
"5","Ｋ‐ポップ","Ｍｏｎｄａｙ　Ａｆｔｅｒｎｏｏｎ（初回限定盤Ｂ）（ＤＶＤ付）","","","=""4988006240254""","650","https://www.bookoffonline.co.jp/old/0017030827","=""0017030827"""
"5","Ｋ‐ポップ","Ｆｌｙ　Ａｗａｙ","","","=""4988007254977""","781","https://www.bookoffonline.co.jp/old/0016977584","=""0016977584"""
"5","Ｋ‐ポップ","ＳＯ　ＧＯＯＤ（完全生産限定盤）","","","=""4988010069667""","1180","https://www.bookoffonline.co.jp/old/0017352406","=""0017352406"""
"5","Ｋ‐ポップ","２０１７　Ｓ／Ｓ　リパッケージ盤（完全生産限定盤）（２ＤＶＤ付）","","","=""4547366324358""","2380","https://www.bookoffonline.co.jp/old/0018916014","=""0018916014"""
"44","Ｊ‐ポップ","Ｏｕｒｓ","","","","1380","https://www.bookoffonline.co.jp/old/0016859143","=""0016859143"""
"43","Ｊ‐ポップ","ＭＡＧＩＣ　ＭＥＬＯＤＩＥＳ～ＴＵＲＮ　ＴＯ　ＴＨＥ　ＰＯＰ　Ⅱ～","","","=""4988013941236""","5980","https://www.bookoffonline.co.jp/old/0015436171","=""0015436171"""
"40","Ｊ‐ポップ","【８ｃｍ】ノアールブルーの涙","","","=""4988031004050""","980","https://www.bookoffonline.co.jp/old/0015467360","=""0015467360"""
"38","Ｊ‐ポップ","ＮＯＢＯＤＹ　ＢＯＸ　Ｅａｒｌｙ　Ｄａｙｓ（３０周年記念ＷＥＢ限定販売）","","","=""4580151289814""","16500","https://www.bookoffonline.co.jp/old/0018571218","=""0018571218"""
"33","Ｊ‐ポップ","ＬＩＶＥの方法","","","=""4988044800038""","4980","https://www.bookoffonline.co.jp/old/0000877222","=""0000877222"""
